"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR237W",726.18029232181,-1.15195219362875,0.232843040331999,-4.94733358569037,7.52369775457663e-07,5.87498620959225e-05
"YOR247W",5469.20872825142,1.00973748353091,0.201127470432313,5.02038573527787,5.15678194180089e-07,4.07708072273633e-05
"YOR264W",3997.76018673593,0.82097935427868,0.217683788308414,3.77143084773735,0.000162314141629999,0.00625998137688869
"YOR313C",231.634022893205,1.4577457870735,0.384230131339012,3.79393927798784,0.000148275949585676,0.00589839862345536
"YOR344C",3339.85046075499,-1.05616316939387,0.223220768730452,-4.73147357838028,2.22895833456438e-06,0.000160206380296815
"YOR348C",13671.7958901194,1.16277562236159,0.184755626104617,6.2935870851542,3.10212340535379e-10,4.90523263471568e-08
"YOR382W",1882.48840202471,-1.0208473087102,0.200012422070077,-5.10391953732021,3.32689773345905e-07,2.80568375521713e-05
"YPL262W",14805.4546465571,1.03918112240775,0.196942696282287,5.27656593529239,1.31627166683043e-07,1.20658236126123e-05
"YPL256C",5124.18271497778,1.58282624776115,0.261764493014032,6.04675687499108,1.47790518063625e-09,2.12448869716461e-07
"YPL230W",9874.22911739647,-1.16778413958798,0.189920230609474,-6.14881382483814,7.80645441395581e-10,1.1756148611493e-07
"YPL163C",4016.22236594613,1.45808008599959,0.295360751846303,4.93660744322026,7.94932513936003e-07,6.13164408615271e-05
"YPL134C",10319.4082075139,1.20454000886173,0.265204633775945,4.54192670660264,5.57424223778406e-06,0.000352570821539842
"YPL080C",174.506887493008,1.20782114430367,0.325495679606356,3.71071329046325,0.000206676076788321,0.00755622072650941
"YPL033C",888.006111153559,-0.8017494004077,0.214517375095434,-3.73745669809274,0.000185891091697791,0.00695716659756526
"YPR002W",27016.7465997871,1.08492975689554,0.239601511416998,4.52805890279777,5.95279898824121e-06,0.000369131898045349
"YPR027C",1453.59656459078,-1.10699892339498,0.195621102030324,-5.65889319662141,1.52352325645823e-08,1.69057624510497e-06
"YPR111W",2928.28740139794,-0.854454767940535,0.211811383068861,-4.03403611062182,5.48268868066054e-05,0.00247700042179842
"YPR113W",2740.51104264869,-1.21079166178522,0.228261720078844,-5.30440084902101,1.13043665347143e-07,1.06716594525474e-05
"YNCP0019W",676.326570810648,-1.76175639020791,0.207331058796216,-8.49731053531891,1.94033844261496e-17,8.18176043302642e-15
"YPR138C",5954.1281702136,-1.47846558828567,0.220806330066053,-6.69575726313369,2.14557619463409e-11,4.37766755840666e-09
"YPR145C-A",1084.83995879885,-1.01380780209602,0.220311014412643,-4.60171183360428,4.19032685694732e-06,0.000271872168699001
"YPR191W",11868.933745449,0.857068056955668,0.204428919979064,4.19249907030494,2.75898213376844e-05,0.00143037393410536
"Q0020",9211.50706012381,1.17392773540145,0.198795648285207,5.90519835583744,3.5222269931321e-09,4.54654810848174e-07
"Q0055",3783.47760441606,1.70506457095821,0.217933994931292,7.82376595948589,5.12660792031561e-15,1.62128975479981e-12
"Q0050",4876.95371056115,2.30631553887462,0.229390074210135,10.0541208978462,8.81042465118494e-24,6.19177065763831e-21
"Q0130",471.015808334243,1.04235103226584,0.249006912065043,4.18603252263765,2.83872692025451e-05,0.00143814749528703
"Q0158",43162.2325170509,1.0527654666527,0.194534500927667,5.41171597651026,6.242364490375e-08,6.26713577803522e-06
"Q0160",102.588119236366,1.3260913401244,0.341586353922467,3.88215549273784,0.000103534636451563,0.00433679851361679
"Q0275",329.810936778273,1.05626122272023,0.25658107428022,4.11667628130148,3.84375358803724e-05,0.00187013395725658
